quote_currency,ask_rate,ts,base_currency
USDT,77.9164397992,2023-05-08T03:59:59.999Z,RUB1
USDT,77.9137539855,2023-05-08T04:59:59.999Z,RUB1
USDT,77.9254054112,2023-05-08T05:59:59.999Z,RUB1
USDT,77.1527341502,2023-05-08T06:59:59.999Z,RUB1
USDT,76.698447657,2023-05-08T07:59:59.999Z,RUB1
USDT,77.1604989487,2023-05-08T08:59:59.999Z,RUB1
USDT,76.855711106,2023-05-08T09:59:59.999Z,RUB1
USDT,77.0687049557,2023-05-08T10:59:59.999Z,RUB1
USDT,76.9454166692,2023-05-08T11:59:59.999Z,RUB1
USDT,77.8732687615,2023-05-08T12:59:59.999Z,RUB1
USDT,77.6552484124,2023-05-08T13:59:59.999Z,RUB1
USDT,78.2664330581,2023-05-08T14:59:59.999Z,RUB1
USDT,78.2512123851,2023-05-08T15:59:59.999Z,RUB1
USDT,77.7617670898,2023-05-08T16:59:59.999Z,RUB1
USDT,77.7721560058,2023-05-08T17:59:59.999Z,RUB1
USDT,77.7501991599,2023-05-08T18:59:59.999Z,RUB1
USDT,77.7547647816,2023-05-08T19:59:59.999Z,RUB1
USDT,77.7448239919,2023-05-08T20:59:59.999Z,RUB1
USDT,77.7648988873,2023-05-08T21:59:59.999Z,RUB1
USDT,77.8815510733,2023-05-08T22:59:59.999Z,RUB1
USDT,77.7720038653,2023-05-08T23:59:59.999Z,RUB1
USDT,77.7668224119,2023-05-09T00:59:59.999Z,RUB1
USDT,77.7600242073,2023-05-09T01:59:59.999Z,RUB1
USDT,77.7686304497,2023-05-09T02:59:59.999Z,RUB1
USDT,77.7616537212,2023-05-09T03:59:59.999Z,RUB1
USDT,77.7616466437,2023-05-09T04:59:59.999Z,RUB1
USDT,77.763459312,2023-05-09T05:59:59.999Z,RUB1
USDT,77.6873092656,2023-05-09T06:59:59.999Z,RUB1
USDT,77.4058657005,2023-05-09T07:59:59.999Z,RUB1
USDT,77.6867214853,2023-05-09T08:59:59.999Z,RUB1
USDT,77.4474955814,2023-05-09T09:59:59.999Z,RUB1
USDT,77.4541830834,2023-05-09T10:59:59.999Z,RUB1
USDT,77.5826917712,2023-05-09T11:59:59.999Z,RUB1
USDT,77.7629695479,2023-05-09T12:59:59.999Z,RUB1
USDT,77.846129744,2023-05-09T13:59:59.999Z,RUB1
USDT,77.489752272,2023-05-09T14:59:59.999Z,RUB1
USDT,77.7448484573,2023-05-09T15:59:59.999Z,RUB1
USDT,77.7307980599,2023-05-09T16:59:59.999Z,RUB1
USDT,77.7428526748,2023-05-09T17:59:59.999Z,RUB1
USDT,77.7425926746,2023-05-09T18:59:59.999Z,RUB1
USDT,77.7203602378,2023-05-09T19:59:59.999Z,RUB1
USDT,77.7305345849,2023-05-09T20:59:59.999Z,RUB1
USDT,77.7299415882,2023-05-09T21:59:59.999Z,RUB1
USDT,77.7423900186,2023-05-09T22:59:59.999Z,RUB1
USDT,77.7563554761,2023-05-09T23:59:59.999Z,RUB1
USDT,77.7295382393,2023-05-10T00:59:59.999Z,RUB1
USDT,77.7368646387,2023-05-10T01:59:59.999Z,RUB1
USDT,77.7395522408,2023-05-10T02:59:59.999Z,RUB1
USDT,77.7378364794,2023-05-10T03:59:59.999Z,RUB1
USDT,77.9303234782,2023-05-10T04:59:59.999Z,RUB1
USDT,77.9374930746,2023-05-10T05:59:59.999Z,RUB1
